"","year","age","caan","caaw","waa","waa.sd","laa","laa.sd"
"1",1976,1,5080,899,0,0,258,18
"2",1976,2,37835,11126,0,0,301,14
"3",1976,3,28806,10303,0,0,317,12
"4",1976,4,6419,2941,0,0,341,13
"5",1976,5,4401,2195,0,0,351,14
"6",1976,6,2359,1339,1,0,365,15
"7",1976,7,2919,1728,1,0,370,12
"8",1976,8,2008,1241,1,0,375,13
"9",1976,9,1341,865,1,0,380,14
"10",1976,10,636,428,1,0,385,15
"11",1977,1,4738,582,0,0,228,17
"12",1977,2,14741,4372,0,0,299,12
"13",1977,3,29710,11231,0,0,321,11
"14",1977,4,8831,3844,0,0,335,10
"15",1977,5,1637,835,1,0,350,12
"16",1977,6,913,511,1,0,360,15
"17",1977,7,616,387,1,0,373,11
"18",1977,8,656,430,1,0,378,14
"19",1977,9,402,269,1,0,381,18
"20",1977,10,416,304,1,0,391,15
"21",1978,1,78,14,0,0,255,15
"22",1978,2,2801,867,0,0,304,12
"23",1978,3,12088,4956,0,0,332,13
"24",1978,4,25956,11772,0,0,343,9
"25",1978,5,10683,5209,0,0,351,10
"26",1978,6,2357,1273,1,0,362,10
"27",1978,7,1153,683,1,0,373,12
"28",1978,8,545,345,1,0,381,12
"29",1978,9,685,473,1,0,392,15
"30",1978,10,448,307,1,0,392,16
"31",1979,1,6742,1106,0,0,253,11
"32",1979,2,11350,2793,0,0,285,15
"33",1979,3,1892,786,0,0,332,21
"34",1979,4,7476,3792,1,0,354,9
"35",1979,5,18990,10087,1,0,359,9
"36",1979,6,11867,6690,1,0,365,10
"37",1979,7,4834,2825,1,0,369,10
"38",1979,8,1589,1039,1,0,381,13
"39",1979,9,1096,741,1,0,385,15
"40",1979,10,1043,755,1,0,394,13
"41",1980,1,55,11,0,0,255,3
"42",1980,2,5644,2313,0,0,323,13
"43",1980,3,6818,3010,0,0,331,11
"44",1980,4,2593,1354,1,0,350,15
"45",1980,5,5096,3029,1,0,366,12
"46",1980,6,10051,6151,1,0,370,11
"47",1980,7,5681,3616,1,0,374,11
"48",1980,8,1925,1308,1,0,382,11
"49",1980,9,1120,804,1,0,389,13
"50",1980,10,949,700,1,0,392,11
"51",1981,1,9477,1730,0,0,255,12
"52",1981,2,1758,745,0,0,331,12
"53",1981,3,7835,4301,1,0,359,12
"54",1981,4,3988,2271,1,0,363,12
"55",1981,5,2553,1639,1,0,377,8
"56",1981,6,4571,3039,1,0,382,10
"57",1981,7,4983,3396,1,0,385,11
"58",1981,8,2054,1457,1,0,389,11
"59",1981,9,664,501,1,0,397,12
"60",1981,10,344,275,1,0,404,14
"61",1982,1,13994,1532,0,0,219,35
"62",1982,2,4498,1749,0,0,325,14
"63",1982,3,1633,922,1,0,362,15
"64",1982,4,4177,2673,1,0,376,12
"65",1982,5,598,423,1,0,388,11
"66",1982,6,2335,1746,1,0,394,12
"67",1982,7,3065,2266,1,0,392,11
"68",1982,8,4116,3108,1,0,395,12
"69",1982,9,1068,809,1,0,395,10
"70",1982,10,1346,1154,1,0,409,18
"71",1983,1,78918,10468,0,0,232,23
"72",1983,2,17821,5317,0,0,297,29
"73",1983,3,7124,2557,0,0,316,21
"74",1983,4,558,267,0,0,344,28
"75",1983,5,650,412,1,0,375,24
"76",1983,6,74,50,1,0,385,17
"77",1983,7,60,46,1,0,399,14
"78",1983,8,198,148,1,0,397,10
"79",1983,9,448,341,1,0,399,12
"80",1983,10,256,199,1,0,401,16
"81",1984,1,42,9,0,0,272,8
"82",1984,2,26081,7856,0,0,300,14
"83",1984,3,14354,6225,0,0,336,14
"84",1984,4,1190,611,1,0,353,23
"85",1984,5,279,194,1,0,389,16
"86",1984,6,628,455,1,0,395,13
"87",1984,7,136,99,1,0,397,11
"88",1984,8,180,147,1,0,412,14
"89",1984,9,708,557,1,0,406,13
"90",1984,10,2526,2078,1,0,411,14
"91",1985,1,24874,3552,0,0,242,14
"92",1985,2,1026,355,0,0,315,19
"93",1985,3,52656,18984,0,0,320,12
"94",1985,4,10199,4712,0,0,345,20
"95",1985,5,719,419,1,0,371,19
"96",1985,6,232,164,1,0,389,37
"97",1985,7,885,638,1,0,396,16
"98",1985,8,197,142,1,0,393,12
"99",1985,9,134,106,1,0,407,14
"100",1985,10,2121,1835,1,0,418,16
"101",1986,1,2405,379,0,0,252,9
"102",1986,2,15674,4511,0,0,302,10
"103",1986,3,5864,2365,0,0,334,14
"104",1986,4,45165,18714,0,0,336,13
"105",1986,5,7578,3743,0,0,353,18
"106",1986,6,535,317,1,0,373,17
"107",1986,7,217,164,1,0,401,10
"108",1986,8,245,199,1,0,410,11
"109",1986,9,76,63,1,0,413,7
"110",1986,10,751,641,1,0,416,12
"111",1987,1,1810,384,0,0,275,15
"112",1987,2,5525,1704,0,0,307,14
"113",1987,3,8977,3670,0,0,333,11
"114",1987,4,2876,1347,0,0,346,13
"115",1987,5,35707,17468,0,0,351,12
"116",1987,6,4370,2510,1,0,368,18
"117",1987,7,168,103,1,0,374,21
"118",1987,8,111,85,1,0,402,16
"119",1987,9,47,43,1,0,420,12
"120",1987,10,272,244,1,0,420,10
"121",1988,1,25187,3213,0,0,234,9
"122",1988,2,1981,710,0,0,316,17
"123",1988,3,1896,823,0,0,336,13
"124",1988,4,2716,1319,0,0,348,11
"125",1988,5,2635,1388,1,0,357,11
"126",1988,6,26505,14805,1,0,363,12
"127",1988,7,3466,2181,1,0,377,15
"128",1988,8,180,129,1,0,392,21
"129",1988,9,96,82,1,0,419,34
"130",1988,10,417,366,1,0,418,11
"131",1989,1,6973,1085,0,0,249,18
"132",1989,2,13161,4141,0,0,304,21
"133",1989,3,1653,756,0,0,339,18
"134",1989,4,966,516,1,0,356,14
"135",1989,5,1057,647,1,0,370,13
"136",1989,6,603,384,1,0,376,16
"137",1989,7,16674,11019,1,0,379,15
"138",1989,8,2036,1580,1,0,399,16
"139",1989,9,277,229,1,0,408,10
"140",1989,10,866,785,1,0,424,14
"141",1990,1,664,180,0,0,293,16
"142",1990,2,10055,2968,0,0,300,16
"143",1990,3,9998,4032,0,0,329,22
"144",1990,4,1954,1085,1,0,364,19
"145",1990,5,1448,898,1,0,377,15
"146",1990,6,1229,786,1,0,381,13
"147",1990,7,711,477,1,0,387,10
"148",1990,8,17639,11849,1,0,386,13
"149",1990,9,881,632,1,0,394,16
"150",1990,10,164,142,1,0,414,20
"151",1991,1,2095,481,0,0,281,16
"152",1991,2,8040,2626,0,0,313,12
"153",1991,3,16441,6368,0,0,330,12
"154",1991,4,8898,4175,0,0,349,13
"155",1991,5,1155,671,1,0,373,12
"156",1991,6,1063,660,1,0,381,11
"157",1991,7,1287,818,1,0,383,13
"158",1991,8,999,708,1,0,394,12
"159",1991,9,12371,8582,1,0,393,15
"160",1991,10,474,424,1,0,419,47
"161",1992,1,4773,777,0,0,255,11
"162",1992,2,9503,2627,0,0,299,15
"163",1992,3,5505,2164,0,0,332,12
"164",1992,4,16736,7471,0,0,345,11
"165",1992,5,9205,4686,1,0,359,11
"166",1992,6,1357,787,1,0,372,14
"167",1992,7,552,337,1,0,379,11
"168",1992,8,978,677,1,0,393,10
"169",1992,9,655,447,1,0,392,13
"170",1992,10,9294,6588,1,0,396,14
"171",1993,1,70,12,0,0,259,9
"172",1993,2,2088,606,0,0,303,11
"173",1993,3,6432,2405,0,0,326,13
"174",1993,4,5499,2516,0,0,347,11
"175",1993,5,18946,9161,0,0,352,10
"176",1993,6,9797,5291,1,0,364,13
"177",1993,7,1818,1086,1,0,375,12
"178",1993,8,714,463,1,0,384,15
"179",1993,9,681,470,1,0,392,16
"180",1993,10,6796,4838,1,0,395,14
"181",1994,1,2311,553,0,0,284,14
"182",1994,2,1315,454,0,0,317,21
"183",1994,3,9949,3711,0,0,326,13
"184",1994,4,9355,4260,0,0,346,11
"185",1994,5,2683,1435,1,0,362,12
"186",1994,6,11969,6303,1,0,361,12
"187",1994,7,3754,2196,1,0,372,12
"188",1994,8,550,349,1,0,382,16
"189",1994,9,338,235,1,0,390,13
"190",1994,10,1523,1101,1,0,395,14
"191",1995,1,8310,1644,0,0,266,18
"192",1995,2,7697,2585,0,0,310,18
"193",1995,3,1089,491,0,0,340,14
"194",1995,4,8018,3813,0,0,346,12
"195",1995,5,5814,2995,1,0,354,12
"196",1995,6,1607,957,1,0,370,11
"197",1995,7,5627,3388,1,0,371,12
"198",1995,8,1981,1281,1,0,378,13
"199",1995,9,255,184,1,0,388,17
"200",1995,10,443,352,1,0,402,11
"201",1996,1,3950,814,0,0,269,18
"202",1996,2,8875,2868,0,0,307,16
"203",1996,3,8578,3818,0,0,336,16
"204",1996,4,1027,550,1,0,355,13
"205",1996,5,5772,3204,1,0,361,12
"206",1996,6,6352,3815,1,0,368,13
"207",1996,7,1234,795,1,0,378,12
"208",1996,8,5106,3406,1,0,381,14
"209",1996,9,1140,816,1,0,389,10
"210",1996,10,337,271,1,0,401,13
"211",1997,1,8943,1955,0,0,273,14
"212",1997,2,13843,4855,0,0,312,16
"213",1997,3,9997,4471,0,0,336,12
"214",1997,4,4822,2530,1,0,354,15
"215",1997,5,773,459,1,0,368,12
"216",1997,6,3583,2117,1,0,370,14
"217",1997,7,2896,1863,1,0,379,14
"218",1997,8,660,491,1,0,391,16
"219",1997,9,3285,2312,1,0,390,12
"220",1997,10,481,358,1,0,394,15
"221",1998,1,2380,371,0,0,249,23
"222",1998,2,22736,5554,0,0,287,18
"223",1998,3,10556,4203,0,0,331,13
"224",1998,4,8767,4432,1,0,356,11
"225",1998,5,3358,1911,1,0,368,12
"226",1998,6,275,170,1,0,378,14
"227",1998,7,1636,1076,1,0,384,12
"228",1998,8,1299,859,1,0,385,14
"229",1998,9,251,178,1,0,394,10
"230",1998,10,1062,759,1,0,396,12
"231",1999,1,2160,412,0,0,264,18
"232",1999,2,7337,2038,0,0,294,18
"233",1999,3,16081,6555,0,0,329,15
"234",1999,4,7784,3719,0,0,347,12
"235",1999,5,4076,2228,1,0,362,12
"236",1999,6,1431,861,1,0,373,12
"237",1999,7,241,160,1,0,385,10
"238",1999,8,550,365,1,0,386,13
"239",1999,9,506,358,1,0,390,12
"240",1999,10,204,145,1,0,392,14
"241",2000,1,35019,6262,0,0,255,24
"242",2000,2,6040,1776,0,0,298,21
"243",2000,3,4677,1752,0,0,322,14
"244",2000,4,7604,3537,0,0,347,12
"245",2000,5,2545,1405,1,0,365,12
"246",2000,6,1499,906,1,0,375,12
"247",2000,7,268,175,1,0,385,10
"248",2000,8,52,38,1,0,399,7
"249",2000,9,197,141,1,0,395,14
"250",2000,10,150,105,1,0,393,16
"251",2001,1,5084,769,0,0,246,19
"252",2001,2,45543,13267,0,0,295,15
"253",2001,3,9929,4202,0,0,328,15
"254",2001,4,3824,1858,0,0,343,13
"255",2001,5,4718,2683,1,0,362,12
"256",2001,6,1140,728,1,0,376,11
"257",2001,7,872,599,1,0,384,14
"258",2001,8,154,113,1,0,386,18
"259",2001,9,46,39,1,0,404,11
"260",2001,10,85,66,1,0,396,9
"261",2002,1,3257,548,0,0,252,17
"262",2002,2,6209,1721,0,0,293,14
"263",2002,3,71911,27231,0,0,320,12
"264",2002,4,6279,2831,0,0,339,17
"265",2002,5,1870,967,1,0,353,15
"266",2002,6,1653,999,1,0,372,14
"267",2002,7,309,196,1,0,379,14
"268",2002,8,147,100,1,0,390,12
"269",2002,9,15,11,1,0,393,10
"270",2002,10,25,18,1,0,399,10
"271",2003,1,3491,766,0,0,270,18
"272",2003,2,6520,2026,0,0,300,13
"273",2003,3,7167,2702,0,0,318,14
"274",2003,4,73544,34377,0,0,338,13
"275",2003,5,6949,3692,1,0,351,14
"276",2003,6,901,556,1,0,368,12
"277",2003,7,744,504,1,0,377,20
"278",2003,8,50,35,1,0,388,9
"279",2003,9,2,2,1,0,400,0
"280",2003,10,0,0,NA,NA,NA,NA
"281",2004,1,43903,8886,0,0,267,20
"282",2004,2,28303,8190,0,0,296,22
"283",2004,3,7048,2750,0,0,324,13
"284",2004,4,5654,2708,0,0,344,14
"285",2004,5,54020,29243,1,0,356,13
"286",2004,6,2143,1260,1,0,366,13
"287",2004,7,806,528,1,0,376,12
"288",2004,8,421,325,1,0,393,10
"289",2004,9,7,5,1,0,395,12
"290",2004,10,0,0,NA,NA,NA,NA
"291",2005,1,16884,1875,0,0,227,24
"292",2005,2,56598,16242,0,0,296,20
"293",2005,3,31146,11390,0,0,318,17
"294",2005,4,5668,2559,0,0,339,14
"295",2005,5,4243,2187,1,0,352,14
"296",2005,6,34344,20464,1,0,367,15
"297",2005,7,1563,986,1,0,373,14
"298",2005,8,295,199,1,0,381,6
"299",2005,9,108,79,1,0,389,5
"300",2005,10,27,18,1,0,382,7
"301",2006,1,44257,9753,0,0,272,15
"302",2006,2,15630,4943,0,0,301,19
"303",2006,3,45534,18960,0,0,326,14
"304",2006,4,22974,10861,0,0,339,14
"305",2006,5,3246,1718,1,0,350,12
"306",2006,6,1647,901,1,0,356,13
"307",2006,7,9972,6391,1,0,372,14
"308",2006,8,279,197,1,0,383,14
"309",2006,9,21,13,1,0,377,15
"310",2006,10,0,0,1,NA,375,NA
"311",2007,1,2230,461,0,0,265,23
"312",2007,2,32886,10475,0,0,301,14
"313",2007,3,22493,9753,0,0,328,15
"314",2007,4,45273,22716,1,0,341,14
"315",2007,5,9502,5574,1,0,357,13
"316",2007,6,1423,872,1,0,360,17
"317",2007,7,952,644,1,0,371,16
"318",2007,8,3982,2842,1,0,377,12
"319",2007,9,22,17,1,0,385,1
"320",2007,10,5,3,1,0,390,2
"321",2008,1,21778,3591,0,0,249,25
"322",2008,2,6902,2084,0,0,300,18
"323",2008,3,29224,12348,0,0,332,15
"324",2008,4,7582,3826,1,0,350,13
"325",2008,5,11846,6335,1,0,356,12
"326",2008,6,1103,677,1,0,371,12
"327",2008,7,300,205,1,0,382,12
"328",2008,8,122,70,1,0,363,25
"329",2008,9,683,482,1,0,386,16
"330",2008,10,2,2,1,0,401,6
"331",2009,1,52836,10805,0,0,268,17
"332",2009,2,26575,8444,0,0,304,16
"333",2009,3,7428,3106,0,0,329,13
"334",2009,4,25295,12375,0,0,345,13
"335",2009,5,4812,2778,1,0,362,11
"336",2009,6,6919,4084,1,0,365,11
"337",2009,7,222,146,1,0,375,10
"338",2009,8,84,52,1,0,372,5
"339",2009,9,6,5,1,0,402,14
"340",2009,10,510,409,1,0,394,10
"341",2010,1,9064,811,0,0,205,30
"342",2010,2,35063,12489,0,0,311,15
"343",2010,3,28312,12376,0,0,331,11
"344",2010,4,6324,3056,0,0,340,15
"345",2010,5,12527,7069,1,0,357,12
"346",2010,6,1656,1063,1,0,371,13
"347",2010,7,2269,1476,1,0,373,12
"348",2010,8,81,50,1,0,368,15
"349",2010,9,4,3,1,0,395,0
"350",2010,10,77,56,1,0,383,7
"351",2011,1,6481,1167,0,0,259,14
"352",2011,2,2722,777,0,0,294,20
"353",2011,3,13416,5524,0,0,331,13
"354",2011,4,4861,2298,0,0,345,12
"355",2011,5,440,243,1,0,361,12
"356",2011,6,2013,1139,1,0,364,12
"357",2011,7,188,128,1,0,386,9
"358",2011,8,291,184,1,0,377,12
"359",2011,9,19,13,1,0,385,1
"360",2011,10,17,12,1,0,390,2
"361",2012,1,426,91,0,0,272,22
"362",2012,2,12145,4113,0,0,311,20
"363",2012,3,2087,847,0,0,330,18
"364",2012,4,3038,1509,0,0,350,15
"365",2012,5,270,149,1,0,360,16
"366",2012,6,26,16,1,0,380,15
"367",2012,7,57,44,1,0,392,16
"368",2012,8,4,3,1,0,380,9
"369",2012,9,2,1,1,0,380,2
"370",2012,10,0,0,1,NA,390,NA
"371",2013,1,847,150,0,0,261,15
"372",2013,2,6028,1731,0,0,299,20
"373",2013,3,12729,5392,0,0,336,18
"374",2013,4,603,284,0,0,347,15
"375",2013,5,1658,904,1,0,363,14
"376",2013,6,101,57,1,0,367,14
"377",2013,7,0,0,1,NA,385,NA
"378",2013,8,5,3,1,0,376,5
"379",2013,9,0,0,NA,NA,NA,NA
"380",2013,10,0,0,NA,NA,NA,NA
"381",2014,1,1273,239,0,0,266,19
"382",2014,2,3456,1204,0,0,315,23
"383",2014,3,7058,3015,0,0,334,20
"384",2014,4,4084,2077,1,0,351,17
"385",2014,5,83,48,1,0,366,18
"386",2014,6,64,44,1,0,385,14
"387",2014,7,1,0,1,NA,403,NA
"388",2014,8,1,1,1,NA,390,NA
"389",2014,9,0,0,NA,NA,NA,NA
"390",2014,10,0,0,NA,NA,NA,NA
"391",2015,1,3700,645,0,0,263,14
"392",2015,2,4075,1154,0,0,298,27
"393",2015,3,1997,821,0,0,331,20
"394",2015,4,2115,1012,0,0,345,20
"395",2015,5,952,548,1,0,363,14
"396",2015,6,124,78,1,0,370,16
"397",2015,7,13,8,1,0,366,15
"398",2015,8,4,2,0,0,350,1
"399",2015,9,0,0,NA,NA,NA,NA
"400",2015,10,0,0,NA,NA,NA,NA
"401",2016,1,7825,1148,0,0,251,20
"402",2016,2,7475,2065,0,0,299,25
"403",2016,3,4992,2032,0,0,335,20
"404",2016,4,2741,1325,0,0,352,17
"405",2016,5,1930,1031,1,0,362,14
"406",2016,6,757,426,1,0,368,13
"407",2016,7,30,18,1,0,373,19
"408",2016,8,1,0,1,NA,400,NA
"409",2016,9,0,0,NA,NA,NA,NA
"410",2016,10,0,0,NA,NA,NA,NA
"411",2017,1,68,11,0,0,259,18
"412",2017,2,17358,3670,0,0,276,20
"413",2017,3,9930,3320,0,0,316,18
"414",2017,4,3162,1338,0,0,338,19
"415",2017,5,1462,740,1,0,358,14
"416",2017,6,1026,546,1,0,364,14
"417",2017,7,250,142,1,0,371,20
"418",2017,8,0,0,NA,NA,NA,NA
"419",2017,9,0,0,NA,NA,NA,NA
"420",2017,10,0,0,NA,NA,NA,NA
"421",2018,1,260,32,0,0,235,19
"422",2018,2,852,151,0,0,252,48
"423",2018,3,23817,7882,0,0,313,18
"424",2018,4,5517,2235,0,0,331,17
"425",2018,5,1016,529,1,0,357,14
"426",2018,6,217,117,1,0,361,15
"427",2018,7,118,75,1,0,380,10
"428",2018,8,11,7,1,0,381,6
"429",2018,9,0,0,NA,NA,NA,NA
"430",2018,10,0,0,NA,NA,NA,NA
"431",2019,1,36,5,0,0,236,13
"432",2019,2,4978,1402,0,0,299,14
"433",2019,3,7568,2575,0,0,317,11
"434",2019,4,9379,3507,0,0,324,15
"435",2019,5,1843,925,1,0,353,15
"436",2019,6,392,225,1,0,368,13
"437",2019,7,119,73,1,0,374,16
"438",2019,8,54,34,1,0,378,11
"439",2019,9,6,4,1,0,399,8
"440",2019,10,0,0,NA,NA,NA,NA
"441",2020,1,173,24,0,0,237,18
"442",2020,2,1948,619,0,0,304,24
"443",2020,3,7562,2930,0,0,324,13
"444",2020,4,3215,1411,0,0,336,11
"445",2020,5,5714,2593,0,0,339,13
"446",2020,6,573,309,1,0,356,17
"447",2020,7,77,48,1,0,371,10
"448",2020,8,6,4,1,0,372,3
"449",2020,9,4,3,1,0,395,0
"450",2020,10,0,0,NA,NA,NA,NA
"451",2021,1,411,68,0,0,254,21
"452",2021,2,2677,732,0,0,296,18
"453",2021,3,2574,979,0,0,325,16
"454",2021,4,3749,1669,0,0,339,15
"455",2021,5,1053,521,0,0,352,12
"456",2021,6,771,397,1,0,352,16
"457",2021,7,147,93,1,0,374,17
"458",2021,8,47,27,1,0,362,19
"459",2021,9,7,5,1,0,394,6
"460",2021,10,0,0,NA,NA,NA,NA
"461",2022,1,75,10,0,0,238,19
"462",2022,2,260,60,0,0,281,24
"463",2022,3,112,36,0,0,312,20
"464",2022,4,30,12,0,0,333,20
"465",2022,5,27,12,0,0,345,24
"466",2022,6,13,7,1,0,369,14
"467",2022,7,8,4,1,0,371,13
"468",2022,8,0,0,1,NA,389,NA
"469",2022,9,0,0,1,NA,394,NA
"470",2022,10,0,0,NA,NA,NA,NA
"471",2023,1,70,9,0,0,235,20
"472",2023,2,129,26,0,0,270,28
"473",2023,3,94,28,0,0,301,28
"474",2023,4,32,13,0,0,334,22
"475",2023,5,16,8,1,0,356,20
"476",2023,6,9,5,1,0,368,17
"477",2023,7,3,2,1,0,380,18
"478",2023,8,1,1,1,0,382,36
"479",2023,9,1,0,1,NA,383,NA
"480",2023,10,0,0,1,NA,383,NA
"481",2024,1,209,23,0,0,228,16
"482",2024,2,385,81,0,0,272,20
"483",2024,3,387,99,0,0,289,20
"484",2024,4,240,76,0,0,306,24
"485",2024,5,51,21,0,0,335,20
"486",2024,6,20,10,0,0,348,17
"487",2024,7,5,3,1,0,376,13
"488",2024,8,0,0,0,NA,350,NA
"489",2024,9,1,1,1,NA,386,NA
"490",2024,10,0,0,NA,NA,NA,NA
